基隆舊站逐時潮位觀測資料
位置：基隆港
儀器型式：
基準面相對KP:
yyyymmddhh：西元年月日時
height：潮位
潮高單位：公厘；潮高空白或時間不連續，表示缺觀測資料。
時間：民國69年1月－民國69年12月
**************************
*st    yyyymmddhh height
1512   1980032310   810 Q
1512   1980032311   840 Q
1512   1980032312   880 Q
1512   1980032313   910 Q
1512   1980032314   930 Q
1512   1980032315   900 Q
1512   1980032316   820 Q
1512   1980032317   720 Q
1512   1980032318   610 Q
1512   1980032319   470 Q
1512   1980032320   360 Q
1512   1980032321   310 Q
1512   1980032322   310 Q
1512   1980032323   350 Q
1512   1980032400   480 Q
1512   1980032401   600 Q
1512   1980032402   760 Q
1512   1980032403   880 Q
1512   1980032404  1010 Q
1512   1980032405  1050 Q
1512   1980032406   990 Q
1512   1980032407   930 Q
1512   1980032408   860 Q
1512   1980032409   790 Q
1512   1980032410   720 Q
1512   1980032411   670 Q
1512   1980032412   680 Q
1512   1980032413   710 Q
1512   1980032414   760 Q
1512   1980032415   790 Q
1512   1980032416   790 Q
1512   1980032417   750 Q
1512   1980032418   670 Q
1512   1980032419   560 Q
1512   1980032420   460 Q
1512   1980032421   360 Q
1512   1980032422   290 Q
1512   1980032423   260 Q
1512   1980032500   330 Q
1512   1980032501   430 Q
1512   1980032502   570 Q
1512   1980032503   730 Q
1512   1980032504   870 Q
1512   1980032505   970 Q
1512   1980032506  1040 Q
1512   1980032507  1050 Q
1512   1980032508   970 Q
1512   1980032509   890 Q
1512   1980032510   810 Q
1512   1980032511   730 Q
1512   1980032512   670 Q
1512   1980032513   680 Q
1512   1980032514   720 Q
1512   1980032515   760 Q
1512   1980032516   800 Q
1512   1980032517   830 Q
1512   1980032518   830 Q
1512   1980032519   760 Q
1512   1980032520   670 Q
1512   1980032521   560 Q
1512   1980032522   460 Q
1512   1980032523   380 Q
1512   1980032600   360 Q
1512   1980032601   390 Q
1512   1980032602   480 Q
1512   1980032603   630 Q
1512   1980032604   770 Q
1512   1980032605   930 Q
1512   1980032606  1050 Q
1512   1980032607  1120 Q
1512   1980032608  1160 Q
1512   1980032609  1090 Q
1512   1980032610   990 Q
1512   1980032611   880 Q
1512   1980032612   770 Q
1512   1980032613   720 Q
1512   1980032614   710 Q
1512   1980032615   730 Q
1512   1980032616   770 Q
1512   1980032617   810 Q
1512   1980032618   850 Q
1512   1980032619   840 Q
1512   1980032620   790 Q
1512   1980032621   690 Q
1512   1980032622   580 Q
1512   1980032623   480 Q
1512   1980032700   410 Q
1512   1980032701   370 Q
1512   1980032702   400 Q
1512   1980032703   480 Q
1512   1980032704   600 Q
1512   1980032705   740 Q
1512   1980032706   890 Q
1512   1980032707  1000 Q
1512   1980032708  1110 Q
1512   1980032709  1070 Q
1512   1980032710   960 Q
1512   1980032711   890 Q
1512   1980032712   800 Q
1512   1980032713   720 Q
1512   1980032714   660 Q
1512   1980032715   660 Q
1512   1980032716   710 Q
1512   1980032717   760 Q
1512   1980032718   800 Q
1512   1980032719   830 Q
1512   1980032720   820 Q
1512   1980032721   770 Q
1512   1980032722   670 Q
1512   1980032723   570 Q
1512   1980032800   470 Q
1512   1980032801   410 Q
1512   1980032802   410 Q
1512   1980032803   460 Q
1512   1980032804   550 Q
1512   1980032805   660 Q
1512   1980032806   810 Q
1512   1980032807   940 Q
1512   1980032808  1030 Q
1512   1980032809  1090 Q
1512   1980032810  1060 Q
1512   1980032811   970 Q
1512   1980032812   870 Q
1512   1980032813   810 Q
1512   1980032814   750 Q
1512   1980032815   730 Q
1512   1980032816   750 Q
1512   1980032817   810 Q
1512   1980032818   860 Q
1512   1980032819   910 Q
1512   1980032820   940 Q
1512   1980032821   920 Q
1512   1980032822   870 Q
1512   1980032823   760 Q
1512   1980032900   650 Q
1512   1980032901   550 Q
1512   1980032902   530 Q
1512   1980032903   570 Q
1512   1980032904   630 Q
1512   1980032905   710 Q
1512   1980032906   820 Q
1512   1980032907   950 Q
1512   1980032908  1080 Q
1512   1980032909  1130 Q
1512   1980032910  1140 Q
1512   1980032911  1070 Q
1512   1980032912   950 Q
1512   1980032913   840 Q
1512   1980032914   770 Q
1512   1980032915   750 Q
1512   1980032916   780 Q
1512   1980032917   840 Q
1512   1980032918   920 Q
1512   1980032919   990 Q
1512   1980032920  1040 Q
1512   1980032921  1050 Q
1512   1980032922  1010 Q
1512   1980032923   900 Q
1512   1980033000   790 Q
1512   1980033001   660 Q
1512   1980033002   590 Q
1512   1980033003   580 Q
1512   1980033004   640 Q
1512   1980033005   730 Q
1512   1980033006   820 Q
1512   1980033007   930 Q
1512   1980033008  1020 Q
1512   1980033009  1070 Q
1512   1980033010  1090 Q
1512   1980033011  1020 Q
1512   1980033012   900 Q
1512   1980033013   800 Q
1512   1980033014   700 Q
1512   1980033015   670 Q
1512   1980033016   700 Q
1512   1980033017   760 Q
1512   1980033018   820 Q
1512   1980033019   900 Q
1512   1980033020   970 Q
1512   1980033021  1010 Q
1512   1980033022  1000 Q
1512   1980033023   930 Q
1512   1980033100   830 Q
1512   1980033101   700 Q
1512   1980033102   590 Q
1512   1980033103   550 Q
1512   1980033104   590 Q
1512   1980033105   680 Q
1512   1980033106   760 Q
1512   1980033107   840 Q
1512   1980033108   950 Q
1512   1980033109  1060 Q
1512   1980033110  1110 Q
1512   1980033111  1070 Q
1512   1980033112   920 Q
1512   1980033113   790 Q
1512   1980033114   680 Q
1512   1980033115   620 Q
1512   1980033116   650 Q
1512   1980033117   740 Q
1512   1980033118   840 Q
1512   1980033119   980 Q
1512   1980033120  1070 Q
1512   1980033121  1130 Q
1512   1980033122  1140 Q
1512   1980033123  1080 Q
1512   1980040100   920 Q
1512   1980040101   800 Q
1512   1980040102   670 Q
1512   1980040103   620 Q
1512   1980040104   640 Q
1512   1980040105   700 Q
1512   1980040106   780 Q
1512   1980040107   860 Q
1512   1980040108   910 Q
1512   1980040109   930 Q
1512   1980040110   950 Q
1512   1980040111   940 Q
1512   1980040112   860 Q
1512   1980040113   720 Q
1512   1980040114   590 Q
1512   1980040115   510 Q
1512   1980040116   470 Q
1512   1980040117   520 Q
1512   1980040118   610 Q
1512   1980040119   700 Q
1512   1980040120   820 Q
1512   1980040121   920 Q
1512   1980040122   970 Q
1512   1980040123   960 Q
1512   1980040200   890 Q
1512   1980040201   750 Q
1512   1980040202   630 Q
1512   1980040203   540 Q
1512   1980040204   520 Q
1512   1980040205   530 Q
1512   1980040206   580 Q
1512   1980040207   650 Q
1512   1980040208   750 Q
1512   1980040209   850 Q
1512   1980040210   890 Q
1512   1980040211   880 Q
1512   1980040212   810 Q
1512   1980040213   690 Q
1512   1980040214   570 Q
1512   1980040215   460 Q
1512   1980040216   390 Q
1512   1980040217   410 Q
1512   1980040218   480 Q
1512   1980040219   590 Q
1512   1980040220   720 Q
1512   1980040221   860 Q
1512   1980040222   960 Q
1512   1980040223  1020 Q
1512   1980040300  1000 Q
1512   1980040301   910 Q
1512   1980040302   800 Q
1512   1980040303   720 Q
1512   1980040304   660 Q
1512   1980040305   640 Q
1512   1980040306   670 Q
1512   1980040307   730 Q
1512   1980040308   810 Q
1512   1980040309   870 Q
1512   1980040310   920 Q
1512   1980040311   950 Q
1512   1980040312   910 Q
1512   1980040313   830 Q
1512   1980040314   720 Q
1512   1980040315   580 Q
1512   1980040316   480 Q
1512   1980040317   440 Q
1512   1980040318   490 Q
1512   1980040319   560 Q
1512   1980040320   660 Q
1512   1980040321   780 Q
1512   1980040322   880 Q
1512   1980040323   980 Q
1512   1980040400  1050 Q
1512   1980040401  1070 Q
1512   1980040402  1000 Q
1512   1980040403   860 Q
1512   1980040404   760 Q
1512   1980040405   720 Q
1512   1980040406   730 Q
1512   1980040407   770 Q
1512   1980040408   830 Q
1512   1980040409   880 Q
1512   1980040410   950 Q
1512   1980040411   990 Q
1512   1980040412   990 Q
1512   1980040413   940 Q
1512   1980040414   810 Q
1512   1980040415   680 Q
1512   1980040416   550 Q
1512   1980040417   480 Q
1512   1980040418   480 Q
1512   1980040419   540 Q
1512   1980040420   640 Q
1512   1980040421   750 Q
1512   1980040422   890 Q
1512   1980040423  1010 Q
1512   1980040500  1080 Q
1512   1980040501  1120 Q
1512   1980040502  1090 Q
1512   1980040503   990 Q
1512   1980040504   900 Q
1512   1980040505   830 Q
1512   1980040506   800 Q
1512   1980040507   820 Q
1512   1980040508   860 Q
1512   1980040509   900 Q
1512   1980040510   940 Q
1512   1980040511   960 Q
1512   1980040512   940 Q
1512   1980040513   900 Q
1512   1980040514   800 Q
1512   1980040515   670 Q
1512   1980040516   530 Q
1512   1980040517   430 Q
1512   1980040518   400 Q
1512   1980040519   420 Q
1512   1980040520   500 Q
1512   1980040521   610 Q
1512   1980040522   740 Q
1512   1980040523   880 Q
1512   1980040600  1000 Q
1512   1980040601  1070 Q
1512   1980040602  1080 Q
1512   1980040603  1050 Q
1512   1980040604   960 Q
1512   1980040605   900 Q
1512   1980040606   870 Q
1512   1980040607   860 Q
1512   1980040608   880 Q
1512   1980040609   900 Q
1512   1980040610   940 Q
1512   1980040611   970 Q
1512   1980040612   980 Q
1512   1980040613   980 Q
1512   1980040614   950 Q
1512   1980040615   870 Q
1512   1980040616   740 Q
1512   1980040617   630 Q
1512   1980040618   550 Q
1512   1980040619   520 Q
1512   1980040620   580 Q
1512   1980040621   670 Q
1512   1980040622   780 Q
1512   1980040623   900 Q
1512   1980040700  1050 Q
1512   1980040701  1170 Q
1512   1980040702  1230 Q
1512   1980040703  1220 Q
1512   1980040704  1170 Q
1512   1980040705  1100 Q
1512   1980040706  1010 Q
1512   1980040707   940 Q
1512   1980040708   890 Q
1512   1980040709   870 Q
1512   1980040710   870 Q
1512   1980040711   890 Q
1512   1980040712   910 Q
1512   1980040713   920 Q
1512   1980040714   910 Q
1512   1980040715   850 Q
1512   1980040716   740 Q
1512   1980040717   600 Q
1512   1980040718   490 Q
1512   1980040719   400 Q
1512   1980040720   330 Q
1512   1980040721   320 Q
1512   1980040722   400 Q
1512   1980040723   530 Q
1512   1980040800   670 Q
1512   1980040801   830 Q
1512   1980040802   980 Q
1512   1980040803  1080 Q
1512   1980040804  1120 Q
1512   1980040805  1090 Q
1512   1980040806  1030 Q
1512   1980040807   950 Q
1512   1980040808   890 Q
1512   1980040809   840 Q
1512   1980040810   820 Q
1512   1980040811   840 Q
1512   1980040812   880 Q
1512   1980040813   920 Q
1512   1980040814   950 Q
1512   1980040815   960 Q
1512   1980040816   920 Q
1512   1980040817   850 Q
1512   1980040818   740 Q
1512   1980040819   640 Q
1512   1980040820   550 Q
1512   1980040821   500 Q
1512   1980040822   520 Q
1512   1980040823   610 Q
1512   1980040900   740 Q
1512   1980040901   890 Q
1512   1980040902  1070 Q
1512   1980040903  1210 Q
1512   1980040904  1310 Q
1512   1980040905  1350 Q
1512   1980040906  1310 Q
1512   1980040907  1240 Q
1512   1980040908  1160 Q
1512   1980040909  1090 Q
1512   1980040910  1040 Q
1512   1980040911   990 Q
1512   1980040912   970 Q
1512   1980040913  1020 Q
1512   1980040914  1060 Q
1512   1980040915  1070 Q
1512   1980040916  1060 Q
1512   1980040917  1030 Q
1512   1980040918   960 Q
1512   1980040919   840 Q
1512   1980040920   710 Q
1512   1980040921   600 Q
1512   1980040922   510 Q
1512   1980040923   510 Q
1512   1980041000   580 Q
1512   1980041001   710 Q
1512   1980041002   860 Q
1512   1980041003  1010 Q
1512   1980041004  1140 Q
1512   1980041005  1230 Q
1512   1980041006  1260 Q
1512   1980041007  1210 Q
1512   1980041008  1130 Q
1512   1980041009  1010 Q
1512   1980041010   910 Q
1512   1980041011   810 Q
1512   1980041012   760 Q
1512   1980041013   760 Q
1512   1980041014   800 Q
1512   1980041015   850 Q
1512   1980041016   900 Q
1512   1980041017   930 Q
1512   1980041018   910 Q
1512   1980041019   870 Q
1512   1980041020   720 Q
1512   1980041021   580 Q
1512   1980041022   430 Q
1512   1980041023   350 Q
1512   1980041100   330 Q
1512   1980041101   410 Q
1512   1980041102   530 Q
1512   1980041103   710 Q
1512   1980041104   890 Q
1512   1980041105  1050 Q
1512   1980041106  1140 Q
1512   1980041107  1190 Q
1512   1980041108  1150 Q
1512   1980041109  1070 Q
1512   1980041110   980 Q
1512   1980041111   860 Q
1512   1980041112   790 Q
1512   1980041113   750 Q
1512   1980041114   750 Q
1512   1980041115   820 Q
1512   1980041116   870 Q
1512   1980041117   930 Q
1512   1980041118   970 Q
1512   1980041119   990 Q
1512   1980041120   940 Q
1512   1980041121   820 Q
1512   1980041122   650 Q
1512   1980041123   520 Q
1512   1980041200   450 Q
1512   1980041201   450 Q
1512   1980041202   530 Q
1512   1980041203   660 Q
1512   1980041204   830 Q
1512   1980041205   980 Q
1512   1980041206  1100 Q
1512   1980041207  1180 Q
1512   1980041208  1230 Q
1512   1980041209  1180 Q
1512   1980041210  1070 Q
1512   1980041211   940 Q
1512   1980041212   830 Q
1512   1980041213   780 Q
1512   1980041214   810 Q
1512   1980041215   860 Q
1512   1980041216   930 Q
1512   1980041217  1020 Q
1512   1980041218  1080 Q
1512   1980041219  1110 Q
1512   1980041220  1090 Q
1512   1980041221  1020 Q
1512   1980041222   850 Q
1512   1980041223   680 Q
1512   1980041300   530 Q
1512   1980041301   490 Q
1512   1980041302   530 Q
1512   1980041303   670 Q
1512   1980041304   840 Q
1512   1980041305  1010 Q
1512   1980041306  1120 Q
1512   1980041307  1210 Q
1512   1980041308  1270 Q
1512   1980041309  1270 Q
1512   1980041310  1170 Q
1512   1980041311  1040 Q
1512   1980041312   870 Q
1512   1980041313   770 Q
1512   1980041314   770 Q
1512   1980041315   820 Q
1512   1980041316   930 Q
1512   1980041317  1060 Q
1512   1980041318  1180 Q
1512   1980041319  1270 Q
1512   1980041320  1330 Q
1512   1980041321  1310 Q
1512   1980041322  1210 Q
1512   1980041323  1030 Q
1512   1980041400   830 Q
1512   1980041401   700 Q
1512   1980041402   650 Q
1512   1980041403   730 Q
1512   1980041404   850 Q
1512   1980041405  1010 Q
1512   1980041406  1140 Q
1512   1980041407  1260 Q
1512   1980041408  1350 Q
1512   1980041409  1320 Q
1512   1980041410  1210 Q
1512   1980041411  1070 Q
1512   1980041412   860 Q
1512   1980041413   710 Q
1512   1980041414   640 Q
1512   1980041415   660 Q
1512   1980041416   720 Q
1512   1980041417   850 Q
1512   1980041418  1000 Q
1512   1980041419  1120 Q
1512   1980041420  1200 Q
1512   1980041421  1200 Q
1512   1980041422  1120 Q
1512   1980041423   990 Q
1512   1980041500   810 Q
1512   1980041501   630 Q
1512   1980041502   520 Q
1512   1980041503   490 Q
1512   1980041504   550 Q
1512   1980041505   660 Q
1512   1980041506   800 Q
1512   1980041507   920 Q
1512   1980041508  1050 Q
1512   1980041509  1060 Q
1512   1980041510  1040 Q
1512   1980041511   920 Q
1512   1980041512   710 Q
1512   1980041513   530 Q
1512   1980041514   380 Q
1512   1980041515   330 Q
1512   1980041516   390 Q
1512   1980041517   510 Q
1512   1980041518   660 Q
1512   1980041519   820 Q
1512   1980041520  1010 Q
1512   1980041521  1120 Q
1512   1980041522  1150 Q
1512   1980041523  1120 Q
1512   1980041600  1010 Q
1512   1980041601   790 Q
1512   1980041602   610 Q
1512   1980041603   510 Q
1512   1980041604   520 Q
1512   1980041605   600 Q
1512   1980041606   710 Q
1512   1980041607   810 Q
1512   1980041608   970 Q
1512   1980041609   990 Q
1512   1980041610  1020 Q
1512   1980041611   990 Q
1512   1980041612   870 Q
1512   1980041613   660 Q
1512   1980041614   450 Q
1512   1980041615   300 Q
1512   1980041616   280 Q
1512   1980041617   360 Q
1512   1980041618   520 Q
1512   1980041619   700 Q
1512   1980041620   850 Q
1512   1980041621  1040 Q
1512   1980041622  1160 Q
1512   1980041623  1220 Q
1512   1980041700  1190 Q
1512   1980041701  1060 Q
1512   1980041702   890 Q
1512   1980041703   750 Q
1512   1980041704   680 Q
1512   1980041705   700 Q
1512   1980041706   780 Q
1512   1980041707   870 Q
1512   1980041708   980 Q
1512   1980041709  1080 Q
1512   1980041710  1110 Q
1512   1980041711  1060 Q
1512   1980041712   960 Q
1512   1980041713   760 Q
1512   1980041714   540 Q
1512   1980041715   350 Q
1512   1980041716   300 Q
1512   1980041717   300 Q
1512   1980041718   410 Q
1512   1980041719   580 Q
1512   1980041720   740 Q
1512   1980041721   900 Q
1512   1980041722  1070 Q
1512   1980041723  1160 Q
1512   1980041800  1190 Q
1512   1980041801  1150 Q
1512   1980041802  1020 Q
1512   1980041803   870 Q
1512   1980041804   790 Q
1512   1980041805   760 Q
1512   1980041806   780 Q
1512   1980041807   820 Q
1512   1980041808   890 Q
1512   1980041809   950 Q
1512   1980041810   970 Q
1512   1980041811   990 Q
1512   1980041812   960 Q
1512   1980041813   850 Q
1512   1980041814   660 Q
1512   1980041815   450 Q
1512   1980041816   300 Q
1512   1980041817   240 Q
1512   1980041818   280 Q
1512   1980041819   390 Q
1512   1980041820   530 Q
1512   1980041821   690 Q
1512   1980041822   850 Q
1512   1980041823  1010 Q
1512   1980041900  1140 Q
1512   1980041901  1190 Q
1512   1980041902  1160 Q
1512   1980041903  1060 Q
1512   1980041904   960 Q
1512   1980041905   890 Q
1512   1980041906   850 Q
1512   1980041907   850 Q
1512   1980041908   880 Q
1512   1980041909   910 Q
1512   1980041910   950 Q
1512   1980041911   990 Q
1512   1980041912   980 Q
1512   1980041913   930 Q
1512   1980041914   830 Q
1512   1980041915   640 Q
1512   1980041916   490 Q
1512   1980041917   390 Q
1512   1980041918   340 Q
1512   1980041919   390 Q
1512   1980041920   480 Q
1512   1980041921   610 Q
1512   1980041922   770 Q
1512   1980041923   930 Q
1512   1980042000  1110 Q
1512   1980042001  1220 Q
1512   1980042002  1290 Q
1512   1980042003  1270 Q
1512   1980042004  1200 Q
1512   1980042005  1130 Q
1512   1980042006  1040 Q
1512   1980042007  1010 Q
1512   1980042008   980 Q
1512   1980042009   980 Q
1512   1980042010  1030 Q
1512   1980042011  1070 Q
1512   1980042012  1090 Q
1512   1980042013  1090 Q
1512   1980042014  1060 Q
1512   1980042015   940 Q
1512   1980042016   790 Q
1512   1980042017   650 Q
1512   1980042018   530 Q
1512   1980042019   470 Q
1512   1980042020   490 Q
1512   1980042021   550 Q
1512   1980042022   670 Q
1512   1980042023   810 Q
1512   1980042100   950 Q
1512   1980042101  1110 Q
1512   1980042102  1230 Q
1512   1980042103  1290 Q
1512   1980042104  1280 Q
1512   1980042105  1220 Q
1512   1980042106  1130 Q
1512   1980042107  1050 Q
1512   1980042108   940 Q
1512   1980042109   900 Q
1512   1980042110   880 Q
1512   1980042111   900 Q
1512   1980042112   930 Q
1512   1980042113   950 Q
1512   1980042114   960 Q
1512   1980042115   930 Q
1512   1980042116   880 Q
1512   1980042117   740 Q
1512   1980042118   620 Q
1512   1980042119   520 Q
1512   1980042120   450 Q
1512   1980042121   430 Q
1512   1980042122   470 Q
1512   1980042123   580 Q
1512   1980042200   720 Q
1512   1980042201   830 Q
1512   1980042202   980 Q
1512   1980042203  1150 Q
1512   1980042204  1230 Q
1512   1980042205  1240 Q
1512   1980042206  1180 Q
1512   1980042207  1110 Q
1512   1980042208  1030 Q
1512   1980042209   940 Q
1512   1980042210   870 Q
1512   1980042211   830 Q
1512   1980042212   840 Q
1512   1980042213   870 Q
1512   1980042214   890 Q
1512   1980042215   930 Q
1512   1980042216   980 Q
1512   1980042217   910 Q
1512   1980042218   830 Q
1512   1980042219   730 Q
1512   1980042220   640 Q
1512   1980042221   550 Q
1512   1980042222   510 Q
1512   1980042223   550 Q
1512   1980042300   630 Q
1512   1980042301   740 Q
1512   1980042302   890 Q
1512   1980042303  1070 Q
1512   1980042304  1200 Q
1512   1980042305  1280 Q
1512   1980042306  1290 Q
1512   1980042307  1240 Q
1512   1980042308  1180 Q
1512   1980042309  1050 Q
1512   1980042310   950 Q
1512   1980042311   860 Q
1512   1980042312   830 Q
1512   1980042313   850 Q
1512   1980042314   900 Q
1512   1980042315   950 Q
1512   1980042316   990 Q
1512   1980042317   990 Q
1512   1980042318   950 Q
1512   1980042319   890 Q
1512   1980042320   800 Q
1512   1980042321   720 Q
1512   1980042322   650 Q
1512   1980042323   630 Q
1512   1980042400   650 Q
1512   1980042401   710 Q
1512   1980042402   830 Q
1512   1980042403   970 Q
1512   1980042404  1100 Q
1512   1980042405  1190 Q
1512   1980042406  1280 Q
1512   1980042407  1310 Q
1512   1980042408  1260 Q
1512   1980042409  1170 Q
1512   1980042410  1040 Q
1512   1980042411   910 Q
1512   1980042412   830 Q
1512   1980042413   810 Q
1512   1980042414   840 Q
1512   1980042415   890 Q
1512   1980042416   950 Q
1512   1980042417  1020 Q
1512   1980042418  1060 Q
1512   1980042419  1020 Q
1512   1980042420   950 Q
1512   1980042421   860 Q
1512   1980042422   780 Q
1512   1980042423   700 Q
1512   1980042500   650 Q
1512   1980042501   650 Q
1512   1980042502   720 Q
1512   1980042503   820 Q
1512   1980042504   940 Q
1512   1980042505  1050 Q
1512   1980042506  1140 Q
1512   1980042507  1200 Q
1512   1980042508  1200 Q
1512   1980042509  1130 Q
1512   1980042510  1030 Q
1512   1980042511   910 Q
1512   1980042512   820 Q
1512   1980042513   750 Q
1512   1980042514   730 Q
1512   1980042515   780 Q
1512   1980042516   850 Q
1512   1980042517   900 Q
1512   1980042518   940 Q
1512   1980042519   970 Q
1512   1980042520   960 Q
1512   1980042521   900 Q
1512   1980042522   810 Q
1512   1980042523   730 Q
1512   1980042600   660 Q
1512   1980042601   630 Q
1512   1980042602   640 Q
1512   1980042603   710 Q
1512   1980042604   800 Q
1512   1980042605   910 Q
1512   1980042606   990 Q
1512   1980042607  1070 Q
1512   1980042608  1120 Q
1512   1980042609  1090 Q
1512   1980042610  1020 Q
1512   1980042611   880 Q
1512   1980042612   760 Q
1512   1980042613   680 Q
1512   1980042614   650 Q
1512   1980042615   660 Q
1512   1980042616   720 Q
1512   1980042617   810 Q
1512   1980042618   890 Q
1512   1980042619   940 Q
1512   1980042620   980 Q
1512   1980042621   950 Q
1512   1980042622   890 Q
1512   1980042623   830 Q
1512   1980042700   750 Q
1512   1980042701   690 Q
1512   1980042702   670 Q
1512   1980042703   700 Q
1512   1980042704   750 Q
1512   1980042705   840 Q
1512   1980042706   920 Q
1512   1980042707  1010 Q
1512   1980042708  1080 Q
1512   1980042709  1080 Q
1512   1980042710  1030 Q
1512   1980042711   890 Q
1512   1980042712   780 Q
1512   1980042713   680 Q
1512   1980042714   640 Q
1512   1980042715   660 Q
1512   1980042716   710 Q
1512   1980042717   800 Q
1512   1980042718   890 Q
1512   1980042719   970 Q
1512   1980042720  1050 Q
1512   1980042721  1070 Q
1512   1980042722  1030 Q
1512   1980042723   920 Q
1512   1980042800   830 Q
1512   1980042801   780 Q
1512   1980042802   760 Q
1512   1980042803   790 Q
1512   1980042804   840 Q
1512   1980042805   890 Q
1512   1980042806   950 Q
1512   1980042807  1050 Q
1512   1980042808  1110 Q
1512   1980042809  1140 Q
1512   1980042810  1100 Q
1512   1980042811   980 Q
1512   1980042812   820 Q
1512   1980042813   710 Q
1512   1980042814   650 Q
1512   1980042815   660 Q
1512   1980042816   710 Q
1512   1980042817   790 Q
1512   1980042818   880 Q
1512   1980042819   980 Q
1512   1980042820  1070 Q
1512   1980042821  1110 Q
1512   1980042822  1120 Q
1512   1980042823  1060 Q
1512   1980042900   940 Q
1512   1980042901   850 Q
1512   1980042902   800 Q
1512   1980042903   800 Q
1512   1980042904   840 Q
1512   1980042905   900 Q
1512   1980042906   960 Q
1512   1980042907  1030 Q
1512   1980042908  1080 Q
1512   1980042909  1110 Q
1512   1980042910  1070 Q
1512   1980042911   980 Q
1512   1980042912   850 Q
1512   1980042913   730 Q
1512   1980042914   630 Q
1512   1980042915   620 Q
1512   1980042916   670 Q
1512   1980042917   760 Q
1512   1980042918   860 Q
1512   1980042919   970 Q
1512   1980042920  1100 Q
1512   1980042921  1160 Q
1512   1980042922  1170 Q
1512   1980042923  1140 Q
1512   1980043000  1050 Q
1512   1980043001   940 Q
1512   1980043002   860 Q
1512   1980043003   820 Q
1512   1980043004   850 Q
1512   1980043005   900 Q
1512   1980043006   950 Q
1512   1980043007  1010 Q
1512   1980043008  1070 Q
1512   1980043009  1110 Q
1512   1980043010  1080 Q
1512   1980043011   990 Q
1512   1980043012   850 Q
1512   1980043013   700 Q
1512   1980043014   590 Q
1512   1980043015   550 Q
1512   1980043016   570 Q
1512   1980043017   650 Q
1512   1980043018   760 Q
1512   1980043019   960 Q
1512   1980043020  1020 Q
1512   1980043021  1130 Q
1512   1980043022  1190 Q
1512   1980043023  1190 Q
1512   1980050100  1110 Q
1512   1980050101  1000 Q
1512   1980050102   890 Q
1512   1980050103   830 Q
1512   1980050104   820 Q
1512   1980050105   840 Q
1512   1980050106   890 Q
1512   1980050107   950 Q
1512   1980050108  1000 Q
1512   1980050109  1040 Q
1512   1980050110  1030 Q
1512   1980050111   960 Q
1512   1980050112   850 Q
1512   1980050113   690 Q
1512   1980050114   530 Q
1512   1980050115   440 Q
1512   1980050116   440 Q
1512   1980050117   490 Q
1512   1980050118   590 Q
1512   1980050119   710 Q
1512   1980050120   850 Q
1512   1980050121  1010 Q
1512   1980050122  1100 Q
1512   1980050123  1140 Q
1512   1980050200  1120 Q
1512   1980050201  1050 Q
1512   1980050202   940 Q
1512   1980050203   880 Q
1512   1980050204   850 Q
1512   1980050205   850 Q
1512   1980050206   870 Q
1512   1980050207   910 Q
1512   1980050208   950 Q
1512   1980050209   980 Q
1512   1980050210   990 Q
1512   1980050211   960 Q
1512   1980050212   880 Q
1512   1980050213   730 Q
1512   1980050214   560 Q
1512   1980050215   450 Q
1512   1980050216   390 Q
1512   1980050217   410 Q
1512   1980050218   500 Q
1512   1980050219   620 Q
1512   1980050220   800 Q
1512   1980050221   940 Q
1512   1980050222  1080 Q
1512   1980050223  1160 Q
1512   1980050300  1210 Q
1512   1980050301  1170 Q
1512   1980050302  1060 Q
1512   1980050303   960 Q
1512   1980050304   910 Q
1512   1980050305   890 Q
1512   1980050306   910 Q
1512   1980050307   940 Q
1512   1980050308   970 Q
1512   1980050309  1010 Q
1512   1980050310  1040 Q
1512   1980050311  1000 Q
1512   1980050312   940 Q
1512   1980050313   830 Q
1512   1980050314   690 Q
1512   1980050315   530 Q
1512   1980050316   430 Q
1512   1980050317   420 Q
1512   1980050318   480 Q
1512   1980050319   580 Q
1512   1980050320   730 Q
1512   1980050321   890 Q
1512   1980050322  1040 Q
1512   1980050323  1170 Q
1512   1980050400  1250 Q
1512   1980050401  1260 Q
1512   1980050402  1200 Q
1512   1980050403  1110 Q
1512   1980050404  1040 Q
1512   1980050405  1000 Q
1512   1980050406   970 Q
1512   1980050407   980 Q
1512   1980050408  1010 Q
1512   1980050409  1060 Q
1512   1980050410  1080 Q
1512   1980050411  1060 Q
1512   1980050412  1030 Q
1512   1980050413   950 Q
1512   1980050414   810 Q
1512   1980050415   660 Q
1512   1980050416   530 Q
1512   1980050417   460 Q
1512   1980050418   440 Q
1512   1980050419   510 Q
1512   1980050420   620 Q
1512   1980050421   780 Q
1512   1980050422   920 Q
1512   1980050423  1080 Q
1512   1980050500  1190 Q
1512   1980050501  1260 Q
1512   1980050502  1260 Q
1512   1980050503  1190 Q
1512   1980050504  1100 Q
1512   1980050505  1020 Q
1512   1980050506   970 Q
1512   1980050507   970 Q
1512   1980050508   980 Q
1512   1980050509  1000 Q
1512   1980050510  1020 Q
1512   1980050511  1020 Q
1512   1980050512  1020 Q
1512   1980050513   980 Q
1512   1980050514   900 Q
1512   1980050515   760 Q
1512   1980050516   620 Q
1512   1980050517   490 Q
1512   1980050518   440 Q
1512   1980050519   420 Q
1512   1980050520   470 Q
1512   1980050521   570 Q
1512   1980050522   730 Q
