基隆舊站逐時潮位觀測資料
位置：基隆港
儀器型式：
基準面相對KP:
yyyymmddhh：西元年月日時
height：潮位
潮高單位：公厘；潮高空白或時間不連續，表示缺觀測資料。
時間：民國69年1月－民國69年12月
**************************
*st    yyyymmddhh height
1512   1980011015  1060 Q
1512   1980011016  1080 Q
1512   1980011017  1030 Q
1512   1980011018   920 Q
1512   1980011019   810 Q
1512   1980011020   680 Q
1512   1980011021   560 Q
1512   1980011022   490 Q
1512   1980011023   500 Q
1512   1980011100   570 Q
1512   1980011101   650 Q
1512   1980011102   730 Q
1512   1980011103   790 Q
1512   1980011104   830 Q
1512   1980011105   840 Q
1512   1980011106   790 Q
1512   1980011107   730 Q
1512   1980011108   680 Q
1512   1980011109   660 Q
1512   1980011110   580 Q
1512   1980011111   590 Q
1512   1980011112   650 Q
1512   1980011113   790 Q
1512   1980011114   890 Q
1512   1980011115   960 Q
1512   1980011116  1040 Q
1512   1980011117  1050 Q
1512   1980011118   990 Q
1512   1980011119   890 Q
1512   1980011120   770 Q
1512   1980011121   630 Q
1512   1980011122   510 Q
1512   1980011123   440 Q
1512   1980011200   440 Q
1512   1980011201   490 Q
1512   1980011202   580 Q
1512   1980011203   670 Q
1512   1980011204   740 Q
1512   1980011205   810 Q
1512   1980011206   840 Q
1512   1980011207   820 Q
1512   1980011208   780 Q
1512   1980011209   730 Q
1512   1980011210   680 Q
1512   1980011211   650 Q
1512   1980011212   650 Q
1512   1980011213   690 Q
1512   1980011214   760 Q
1512   1980011215   840 Q
1512   1980011216   930 Q
1512   1980011217   980 Q
1512   1980011218  1020 Q
1512   1980011219   950 Q
1512   1980011220   870 Q
1512   1980011221   750 Q
1512   1980011222   600 Q
1512   1980011223   510 Q
1512   1980011300   470 Q
1512   1980011301   490 Q
1512   1980011302   580 Q
1512   1980011303   700 Q
1512   1980011304   800 Q
1512   1980011305   900 Q
1512   1980011306   990 Q
1512   1980011307  1050 Q
1512   1980011308  1040 Q
1512   1980011309  1010 Q
1512   1980011310   960 Q
1512   1980011311   920 Q
1512   1980011312   890 Q
1512   1980011313   890 Q
1512   1980011314   920 Q
1512   1980011315   970 Q
1512   1980011316  1040 Q
1512   1980011317  1070 Q
1512   1980011318  1080 Q
1512   1980011319  1050 Q
1512   1980011320   960 Q
1512   1980011321   820 Q
1512   1980011322   680 Q
1512   1980011323   540 Q
1512   1980011400   420 Q
1512   1980011401   380 Q
1512   1980011402   410 Q
1512   1980011403   510 Q
1512   1980011404   630 Q
1512   1980011405   760 Q
1512   1980011406   870 Q
1512   1980011407   950 Q
1512   1980011408  1000 Q
1512   1980011409   950 Q
1512   1980011410   890 Q
1512   1980011411   820 Q
1512   1980011412   750 Q
1512   1980011413   700 Q
1512   1980011414   700 Q
1512   1980011415   730 Q
1512   1980011416   770 Q
1512   1980011417   820 Q
1512   1980011418   860 Q
1512   1980011419   860 Q
1512   1980011420   800 Q
1512   1980011421   690 Q
1512   1980011422   540 Q
1512   1980011423   390 Q
1512   1980011500   250 Q
1512   1980011501   180 Q
1512   1980011502   190 Q
1512   1980011503   270 Q
1512   1980011504   420 Q
1512   1980011505   590 Q
1512   1980011506   750 Q
1512   1980011507   880 Q
1512   1980011508   980 Q
1512   1980011509  1000 Q
1512   1980011510   960 Q
1512   1980011511   870 Q
1512   1980011512   800 Q
1512   1980011513   750 Q
1512   1980011514   730 Q
1512   1980011515   730 Q
1512   1980011516   770 Q
1512   1980011517   820 Q
1512   1980011518   860 Q
1512   1980011519   880 Q
1512   1980011520   840 Q
1512   1980011521   760 Q
1512   1980011522   620 Q
1512   1980011523   450 Q
1512   1980011600   280 Q
